2017-10-31 22:41:10,669 INFO  [main] o.s.w.c.ContextLoader:285 Root WebApplicationContext: initialization started
2017-10-31 22:41:10,761 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing Root WebApplicationContext: startup date [Tue Oct 31 22:41:10 CST 2017]; root of context hierarchy
2017-10-31 22:41:10,815 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/root-context.xml]
2017-10-31 22:41:11,235 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-31 22:41:12,230 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/shunt.xml]
2017-10-31 22:41:13,217 INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer:172 Loading properties file from class path resource [jdbc.properties]
2017-10-31 22:41:13,223 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-31 22:41:13,272 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@485451d8: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,fliggyPublicController,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2017-10-31 22:41:13,529 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/order],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.OrderResponse com.sunshine.publicserver.controller.FliggyPublicController.order(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.OrderRequest)
2017-10-31 22:41:13,530 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/verify],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.VerifyResponse com.sunshine.publicserver.controller.FliggyPublicController.verify(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.VerifyRequest)
2017-10-31 22:41:13,531 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/search],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.SearchResponse com.sunshine.publicserver.controller.FliggyPublicController.search(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.SearchRequest)
2017-10-31 22:41:13,531 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/pay],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.PayResponse com.sunshine.publicserver.controller.FliggyPublicController.pay(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.PayRequest)
2017-10-31 22:48:36,303 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping:315 Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-10-31 22:48:36,465 INFO  [main] o.s.w.c.ContextLoader:325 Root WebApplicationContext: initialization completed in 445791 ms
2017-10-31 22:48:36,607 INFO  [main] o.s.w.s.DispatcherServlet:457 FrameworkServlet 'restapi': initialization started
2017-10-31 22:48:36,623 INFO  [main] o.s.w.c.s.XmlWebApplicationContext:512 Refreshing WebApplicationContext for namespace 'restapi-servlet': startup date [Tue Oct 31 22:48:36 CST 2017]; parent: Root WebApplicationContext
2017-10-31 22:48:36,626 INFO  [main] o.s.b.f.x.XmlBeanDefinitionReader:316 Loading XML bean definitions from class path resource [spring/mvc-context.xml]
2017-10-31 22:48:36,813 INFO  [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:141 JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-10-31 22:48:36,826 INFO  [main] o.s.b.f.s.DefaultListableBeanFactory:603 Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2567c091: defining beans [mvcContentNegotiationManager,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping#0,org.springframework.format.support.FormattingConversionServiceFactoryBean#0,org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter#0,org.springframework.web.servlet.handler.MappedInterceptor#0,org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver#0,org.springframework.web.servlet.mvc.annotation.ResponseStatusExceptionResolver#0,org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver#0,org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping,org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter,org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter,org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0,org.springframework.web.servlet.handler.SimpleUrlHandlerMapping#0,fliggyPublicController,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.annotation.internalPersistenceAnnotationProcessor,org.springframework.web.servlet.view.InternalResourceViewResolver#0,rest,org.springframework.web.servlet.handler.SimpleMappingExceptionResolver#0,conversionService,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@485451d8
2017-10-31 22:48:36,860 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/order],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.OrderResponse com.sunshine.publicserver.controller.FliggyPublicController.order(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.OrderRequest)
2017-10-31 22:48:36,860 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/verify],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.VerifyResponse com.sunshine.publicserver.controller.FliggyPublicController.verify(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.VerifyRequest)
2017-10-31 22:48:36,862 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/search],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.SearchResponse com.sunshine.publicserver.controller.FliggyPublicController.search(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.SearchRequest)
2017-10-31 22:48:36,862 INFO  [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping:180 Mapped "{[/fliggy/pay],methods=[POST],params=[],headers=[],consumes=[text/plain],produces=[],custom=[]}" onto public com.sunshine.publicserver.fliggy.vo.PayResponse com.sunshine.publicserver.controller.FliggyPublicController.pay(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.sunshine.publicserver.fliggy.vo.PayRequest)
2017-10-31 22:48:37,065 INFO  [main] o.s.w.s.h.SimpleUrlHandlerMapping:315 Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0'
2017-10-31 22:48:37,138 INFO  [main] o.s.w.s.DispatcherServlet:476 FrameworkServlet 'restapi': initialization completed in 531 ms
2017-10-31 22:49:57,803 WARN  [1543105131@qtp-1772797104-0] o.s.w.s.PageNotFound:194 Request method 'GET' not supported
